"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"1","Arsenal","Coventry",0,3,"A","1993-94",1993-08-14,0,1,0
"2","Aston Villa","QPR",4,1,"H","1993-94",1993-08-14,1,0,0
"3","Chelsea","Blackburn",1,2,"A","1993-94",1993-08-14,0,1,0
"4","Liverpool","Sheffield Weds",2,0,"H","1993-94",1993-08-14,1,0,0
"5","Man City","Leeds",1,1,"D","1993-94",1993-08-14,0,0,1
"6","Newcastle","Tottenham",0,1,"A","1993-94",1993-08-14,0,1,0
"7","Oldham","Ipswich",0,3,"A","1993-94",1993-08-14,0,1,0
"8","Sheffield United","Swindon",3,1,"H","1993-94",1993-08-14,1,0,0
"9","Southampton","Everton",0,2,"A","1993-94",1993-08-14,0,1,0
"10","West Ham","Wimbledon",0,2,"A","1993-94",1993-08-14,0,1,0
"11","Norwich","Man United",0,2,"A","1993-94",1993-08-15,0,1,0
"12","Tottenham","Arsenal",0,1,"A","1993-94",1993-08-16,0,1,0
"13","Everton","Man City",1,0,"H","1993-94",1993-08-17,1,0,0
"14","Ipswich","Southampton",1,0,"H","1993-94",1993-08-17,1,0,0
"15","Leeds","West Ham",1,0,"H","1993-94",1993-08-17,1,0,0
"16","Wimbledon","Chelsea",1,1,"D","1993-94",1993-08-17,0,0,1
"17","Blackburn","Norwich",2,3,"A","1993-94",1993-08-18,0,1,0
"18","Coventry","Newcastle",2,1,"H","1993-94",1993-08-18,1,0,0
"19","Man United","Sheffield United",3,0,"H","1993-94",1993-08-18,1,0,0
"20","QPR","Liverpool",1,3,"A","1993-94",1993-08-18,0,1,0
"21","Sheffield Weds","Aston Villa",0,0,"D","1993-94",1993-08-18,0,0,1
"22","Swindon","Oldham",0,1,"A","1993-94",1993-08-18,0,1,0
"23","Blackburn","Oldham",1,0,"H","1993-94",1993-08-21,1,0,0
"24","Coventry","West Ham",1,1,"D","1993-94",1993-08-21,0,0,1
"25","Everton","Sheffield United",4,2,"H","1993-94",1993-08-21,1,0,0
"26","Ipswich","Chelsea",1,0,"H","1993-94",1993-08-21,1,0,0
